Department,Course Number,Course Name,Credits,Semesters Offered,Pre-Requisite(s)
BE,4340,Biocompatibility,3.0,Fall,BE2400 or BE4200 or BE5200
BE,4350,Cell Biomechanics and Mechanical Transduction,3.0,"Fall, in odd years",BE2400 and BE3350 and BE3800
BE,4410,Medical Imaging,3.0,"Spring, in odd years",BE3700 and BE3701
BE,4510,Cardiovascular Engineering,3.0,"Fall, in odd years",BL2020 and BE3350 and BE3550
BE,4530,3D Bioprinting,3.0,"Spring, in even years",BE2400 and BE3800
BE,4650,Neural Basis of Rehabilitation Engineering,3.0,"Spring, in even years",BE3350 and BL2010 and BL2011 and BL2020 and BL2021
BE,4655,Neural Prosthetic Systems,3.0,"Spring, in odd years",BE3700 and BL2010 and BL2011 and BL2020 and BL2021
BE,4670,Micro &amp; Nano Technologies,3.0,"Fall, in even years",PH2100 or EE2110 or EE3010
BE,4700,Biosensors: Fabrication &amp; Applications,3.0,"Fall, in odd years",BE3700 and BE3701
BE,4755,Medical Devices,3.0,Fall,BE3700
BE,4770,Biomedical Microcontrollers,3.0,"Fall, in odd years",BE3700 and BE3701
BE,4850,Tissue Mechanics,3.0,"Fall, in odd years",BE3350
BE,4870,Computer Vision for Microscopic Images,3.0,"Fall, in even years",BE2700
BE,4900,Biomedical Design Fundamentals,2.0,Spring,
BE,4901,Biomedical Design Project I,2.0,Fall,BE3350 and BE3700 and BE3701 and BE3800 and BE4900
BE,4910,Biomedical Design Project II,2.0,Spring,BE4900 and BE4901
BE,4930,Biomedical Engineering Topics,var,"Fall, Spring, Summer",
BL,1100,"General Biology I: Introduction to Organismal Biology, Ecology, and Evolution",3.0,"Fall, Summer",
BL,1110,"General Biology I Laboratory: Introduction to Organismal Biology, Ecology, and Evolution",1.0,"Fall, Summer",
BL,1200,General Biology II: Introduction to Cellular and Molecular Biology,3.0,"Spring, Summer",
BL,1210,General Biology II Laboratory: Introduction to Cellular and Molecular Biology,1.0,"Spring, Summer",
BL,1400,Principles of Biology,3.0,"Fall, Summer",
BL,1410,Principles of Biology Laboratory,1.0,"Fall, Summer",
BL,1580,First Year Experience in Biological Sciences,1.0,Fall,
BL,1590,First Year Experience in Health Professions,1.0,"Fall, Spring",
BL,1600,First Year Experience in Medical Laboratory Science,1.0,Fall,
BL,1710,Medical Terminology,1.0,Fall,
BL,2000,Biology of Movement and Meditation,3.0,On Demand,
BL,2001,Valuing the Great Lakes,3.0,"Fall, Summer",
BL,2003,Field Observation and Data Collection,1.0,Fall,BL1580
BL,2010,Anatomy &amp; Physiology l,3.0,"Fall, Summer",
BL,2011,Anatomy &amp; Physiology I Lab,1.0,"Fall, Summer",BL2010(C)
BL,2015,Introduction to Neuroscience,3.0,On Demand,BL1020 or BL1040 or BL2010 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,2020,Anatomy &amp; Physiology II,3.0,"Spring, Summer",BL2010
BL,2021,Anatomy &amp; Physiology II Lab,1.0,"Spring, Summer",BL2011 and BL2020(C)
BL,2160,Botany,4.0,Spring,
BL,2170,Zoology,4.0,Spring,
BL,2200,Genetics,3.0,Spring,BL1020 or BL1040 or BE2400 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,2210,Genetics Laboratory,1.0,Spring,BL2200(C)
BL,2410,Basic Medical Laboratory Techniques,3.0,Fall,BL1020 or BL1040 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,2500,Biology Research Experience,var,"Fall, Spring, Summer",(BL1100(C) and BL1110(C)) or (BL1200(C) and BL1210(C)) or (BL1400(C) and BL1410(C))
BL,2700,Principles of Computational Biology,3.0,Fall,BL1020 or BL1040 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,2940,Human Nutrition,3.0,"Spring, Summer",
BL,3001,Emergency Medical Technician 1,5.0,Fall,
BL,3002,Emergency Medical Technician 2,5.0,Spring,BL3001
BL,3003,Data Interpretation and Critical Analysis,1.0,Spring,BL2003 and MA3715(C)
BL,3006,Graduate Health Program Application Preparation,1.0,"Fall, Spring",BL1590 or KIP1000
BL,3012,Essential Cell Biology,3.0,Spring,BL1020 or BL1040 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,3020,Biochemistry I,3.0,"Fall, Summer",(BL1020 or BL1040 or BE2400) or (BL1200 and BL1210) or (BL1400 and BL1410) and (CH2410 or CH2420)
BL,3025,Biochemistry for Health Professions,3.0,"Fall, Summer",(BL1200 or BL1400 or BE2400) and (CH2410 or CH2430)
BL,3044,Advanced Human Physiology,3.0,"Fall, in odd years, Spring, in odd years",BL2020
BL,3090,Spirituality in Healthcare,3.0,Fall,
BL,3210,General Microbiology,4.0,"Fall, Summer",BL1020 or BL1040 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,3230,Medical Bacteriology,5.0,Spring,BL3210
BL,3300,Introduction to Genomics,3.0,Fall,BL2200 or FW3320
BL,3310,Environmental Microbiology,3.0,Spring,BL1200 or BL1400 or BL1020 or BL1040 or BL3080
BL,3490,Principles of Ecology and Evolution,4.0,Fall,BL1010 or BL1040 or (BL1100 and BL1110) or (BL1400 and BL1410)
BL,3600,Clinical Practicum and Career Preparation Seminar,1.0,Spring,
BL,3611,Principles and Practice of Phlebotomy,1.0,Spring,BL2410
BL,3640,General Immunology,3.0,"Fall, Summer",BL1020 or BL1040 or BL2020 or BE2400 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,3782,Writing Practicum in Biology,2.0,"Fall, Spring",
BL,3800,"Medical Mycology, Virology, and Parasitology",2.0,Spring,BL2410 and BL3210 and BL2020(C)
BL,3820,Biochemical Laboratory Techniques I,2.0,Spring,BL3020(C) or CH4710(C) or BL3025(C)
BL,3900,Urinalysis and Body Fluids,1.0,Fall,BL2020 and BL2410(C)
BL,3970,Current Health Issues,3.0,"Spring, Summer",
BL,3990,Biological Sciences Teaching Experience,var,"Fall, Spring, Summer",
BL,3999,Biological Sciences Field Experience,var,On Demand,
BL,4000,Research in Biology,var,"Fall, Spring, Summer",
BL,4020,Biochemistry II,3.0,"Spring, Summer",BL3020
BL,4030,Molecular Biology,3.0,"Fall, Summer",BL3020 or CH4710 or BL3025
BL,4034,Advanced Evolutionary Ecology,3.0,"Fall, in even years",BL3490
BL,4035,Bioimaging,2.0,"Fall, in even years",
BL,4038,Epigenetics,3.0,On Demand,BL3300 or BL4030
BL,4044,Human Pathophysiology,3.0,"Spring, in even years",BL2010 and BL2020
BL,4052,Fluorescence and Video Microscopy of Biological Specimens,2.0,On Demand,BL4035
BL,4070,Environmental Toxicology,3.0,Spring,BL1020 or (BL1200 and BL1210) or BL1040 or (BL1400 and BL1410) and CH1150 and CH1160
BL,4090,Tropical Island Biology,2.0,Spring,
BL,4100,Special Topics in Biological Sciences,var,"Fall, Spring, Summer",
BL,4120,Environmental Remediation,3.0,"Fall, in odd years",BL1020 or BL1040 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,4140,Plant Physiology,3.0,"Spring, in odd years",BL2160 and CH2420
BL,4141,Algae,3.0,On Demand,(BL1010 or BL1100 and BL1110) and (BL1020 or BL1200 and BL1210) or BL1040 or (BL1400 and BL1410) or BL3080
BL,4145,Plant-Microbe Interactions,3.0,"Fall, in even years",BL2200
BL,4153,Applied Genome Editing,3.0,"Fall, in odd years",BL2200 or FW3230
BL,4200,Microbial Physiology,3.0,"Fall, in even years",BL3210 or BL3310
BL,4300,Applied Bacterial Genomics,3.0,"Fall, in odd years",BL2200
BL,4310,Applied Eukaryotic Genomics,3.0,"Fall, in even years",BL2200 and BL2210
BL,4370,Advanced Cell Biology,3.0,Spring,BL2200 and CH2420
BL,4380,Cardiopulmonary Physiology,3.0,Fall,BL2020
BL,4395,Stable Isotopes in Ecology,2.0,"Fall, in even years",BL3490 and (BL3020 or CH1150 and CH1151)
BL,4400,Microbial Ecology,3.0,"Fall, in even years",BL3210 or BL3310 or BL3490
BL,4410,Developmental Biology,3.0,Spring,BL2200 and (BL3012(C) or BL4370(C))
BL,4421,Lake Superior Exploration,3.0,"Summer, in odd years",
BL,4440,Fish Biology,4.0,Fall,BL1020 or BL1040 or (BL1200 and BL1210) or (BL1400 and BL1410)
BL,4447,Stream Ecology,3.0,"Fall, in even years",BL1010 or (BL1100 and BL1110) or BL1040 or (BL1400 and BL1410) or BL3400
BL,4450,Limnology,3.0,Spring,
BL,4452,Advanced Ecology,3.0,"Spring, in even years",BL3003 and BL3490
BL,4461,Ecosystem Ecology,3.0,On Demand,BL3490 and CH1122 or (CH1160 and CH1161)
BL,4465,Biological Oceanography,3.0,Spring,BL1010 or (BL1100 and BL1110) or BL1040 or (BL1400 and BL1410) or BL3080
BL,4550,Clinical Chemistry,4.0,Spring,BL2020 and BL3640
BL,4600,Professional Development Capstone for Biological Sciences,1.0,"Fall, Spring",BL3782
BL,4610,Medical Laboratory Science Medical Practicum I,12.0,"Fall, Spring, Summer",
BL,4611,Medical Laboratory Science Medical Practicum II,12.0,"Fall, Spring, Summer",BL4610
BL,4612,Medical Laboratory Science University Clinical Practicum,12.0,"Fall, Spring, Summer",
BL,4640,Clinical Immunology &amp; Serology,3.0,Fall,BL2410 and BL3640
BL,4660,Current Topics in Medical Laboratory Science,var,"Fall, Spring",
BL,4720,Hematology and Hemostasis,4.0,Fall,BL2410(C) and BL2020
BL,4725,Immunohematology,3.0,Fall,BL2410(C)
BL,4752,Cancer Biology,3.0,Spring,BL3012 or BL4370 or BE2400
BL,4800,Molecular Diagnostics,4.0,Spring,BL2200 and BL3025
BL,4840,Molecular Biology Techniques,3.0,Fall,BL2200 and BL4030(C)
BL,4980,Medical Laboratory Science Core Concept Integration and Application,2.0,Spring,BL3230(C) and BL4550(C) and BL4640 and BL4720 and (BL4730 or BL4725)
BL,4995,Research in Biochemistry,var,"Fall, Spring, Summer",
BL,4999,Biological Sciences Internship,var,"Fall, Spring, Summer",
BUS,1100,Introduction to Business,3.0,Spring,
BUS,2100,Business Statistics,3.0,On Demand,MA1135 or MA1160 or MA1161 or MA1121
BUS,2200,Business Law,3.0,"Fall, Spring",
BUS,2300,Quantitative Problem Solving,3.0,"Fall, Spring",BUS2100 or MA2710 or MA2720 or MA3710 or MA3720
BUS,3000,Introduction to Business Analytics,3.0,"Fall, Spring",BUS2300
BUS,3900,Business Internship,var,"Fall, Spring, Summer",
BUS,4900,Research Projects,var,On Demand,
BUS,4950,Business Project,var,On Demand,
BUS,4990,Special Topics in Business,var,On Demand,
CEE,1000,Civil Engineering,1.0,Fall,
CEE,1001,Sustainability and Civil Engineering Practice,1.0,Spring,
CEE,1003,Introduction to Computer Aided Drafting,1.0,"Fall, Spring",
CEE,1501,Experiences in Environmental Engineering,1.0,Fall,
CEE,3101,Civil Engineering Materials,3.0,"Fall, Spring",ENG2120 or MEEM2150 or CMG2120
CEE,3200,Thermodynamics/Fluid Mechanics,4.0,"Fall, Spring, Summer",CH1150 and CH1151 and PH2100 and (ENG1101 or CS1111 or CS1121 or CS1131) and MA2160
CEE,3202,Structural Analysis,3.0,"Fall, Spring",(ENG2120 or MEEM2150) and (MA2320(C) or MA2321(C) or MA2330(C))
CEE,3331,Professional Practice,2.0,"Fall, Spring",
CEE,3332,Fundamentals of Construction Engineering,3.0,"Fall, Spring",
CEE,3401,Transportation Engineering,3.0,"Fall, Spring",
CEE,3490,Introduction to Sustainable Rail Transportation,1.0,Spring,
CEE,3501,Environmental Engineering Fundamentals,3.0,Fall,(MA1160 or MA1161) and MA2160 and (CH1112 or (CH1150 and CH1151))
CEE,3502,Environmental Monitoring and Measurement Analysis,3.0,Spring,MA2160 and (CH1150 and CH1151)
CEE,3503,Environmental Engineering,3.0,"Fall, Spring",MA2160 and CH1112 or (CH1150 and CH1151)
CEE,3620,Water Resources Engineering,4.0,"Fall, Spring, Summer",(ENG3200 or CEE3200) and (MA3710(C) or MA2710(C) or MA2720(C) or CEE3502(C) or CEE3710(C))
CEE,3710,Uncertainty Analysis in Engineering,3.0,Fall,MA2160
CEE,3810,Soil Mechanics for Engineers,4.0,"Fall, Spring",GE2000(C) and (MEEM2150 or ENG2120) and (ENG3200 or CEE3200 or GE3850)
CEE,4020,Digital Project Delivery,3.0,Fall,CEE3332 or CEE3401(C) or SU2220
CEE,4030,Building Information Modeling,3.0,Fall,CEE3332
CEE,4101,Bituminous Materials,3.0,Fall,CEE3101
CEE,4201,Matrix Structural Analysis,3.0,"Fall, Spring",CEE3202
CEE,4213,Structural Concrete Design,4.0,Spring,CEE3202
CEE,4223,Steel Design I,4.0,"Fall, Summer",CEE3202
CEE,4233,Structural Timber Design,3.0,Spring,CEE3202 or CMG3250
CEE,4244,Loads for Civil Structures,3.0,Spring,CEE3202
CEE,4333,Estimating and Planning of Construction Projects,3.0,Fall,CEE3332 or CMG3265
CEE,4344,Construction Scheduling,3.0,Spring,CMG3265 or CEE3332
CEE,4401,Pavement Design,3.0,Fall,CEE3401 and CEE3101
CEE,4402,Traffic Engineering,3.0,Fall,
CEE,4404,Railroad Engineering,3.0,Fall,
CEE,4406,Airport Planning and Design,3.0,Spring,
CEE,4407,Transportation Design,3.0,Spring,CEE3401 and SU2000
CEE,4410,Transportation Planning,3.0,Fall,
CEE,4501,Environmental Engineering Chemical Processes,4.0,Fall,(CEE3501 or CEE3503) and CEE3502 and (ENG3200 or CEE3200)
CEE,4502,Wastewater Treatment Principles and Design,3.0,Fall,CEE3501 or CEE3503
CEE,4503,Drinking Water Treatment Principles and Design,3.0,Spring,CEE3501 or CEE3503
CEE,4504,Air Quality Engineering and Science,3.0,Fall,CEE3501 or CEE3503
CEE,4505,Surface Water Quality Engineering,3.0,Fall,CEE3501 or CEE3503
CEE,4506,Sustainable Engineering,3.0,Spring,CEE3501 or CEE3503
CEE,4507,Water Distribution and Wastewater Collection,3.0,Spring,(CEE3501 or CEE3503) and CEE3620
CEE,4509,Environmental Process &amp; Simulation,2.0,Spring,(CEE3501 or CEE3503) and (ENG3200 or CEE3200) and (CEE4502 or CEE4503(C))
CEE,4510,Baccalaureate Thesis,3.0,"Fall, Spring",
CEE,4511,Solid and Hazardous Waste Engineering,3.0,Spring,CEE3501 or CEE3503
CEE,4518,Aquatic Biogeochemistry,3.0,"Fall, in even years",CEE4501(C) and CEE4505(C)
CEE,4521,Bioremediation Engineering,3.0,"Spring, in odd years",(CEE3501 or CEE3503) and BL3310
CEE,4528,Global Biogeochemistry,3.0,"Fall, in odd years",CEE4501(C)
CEE,4610,Water Resources System Modeling &amp; Design,3.0,Spring,CEE3620 or CEE3650
CEE,4620,River and Floodplain Hydraulics,3.0,Fall,CEE3620
CEE,4640,Stormwater Management and Low Impact Development,3.0,Summer,CEE3620
CEE,4650,Hydraulic Structures,3.0,"Fall, Spring",CEE3620(C)
CEE,4665,Stream Restoration,3.0,Spring,CEE3620
CEE,4760,Optimization Methods in Civil and Environmental Engineering,3.0,Spring,MA2160 and (MA2320 or MA2321 or MA2330)
CEE,4820,Foundation Engineering,3.0,Fall,CEE3810
CEE,4830,Geosynthetics Engineering,3.0,"Spring, in even years",CEE3810
CEE,4850,Rock Engineering for Civil Engineers,3.0,Spring,CEE3810(C)
CEE,4900,Engineering Design Project I,3.0,"Fall, Summer",
CEE,4905,Engineering Design Project,3.0,"Fall, Spring, Summer",
CEE,4910,Engineering Design Project II,3.0,"Spring, Summer",CE4900 or CEE4900
CEE,4915,International Engineering Field Experience,3.0,"Fall, Spring, Summer",
CEE,4916,International Senior Design Field Project,3.0,"Fall, Spring, Summer",CE4915 or CEE4915
CEE,4920,Civil Engineering Independent Study,var,"Fall, Spring, Summer",
CEE,4930,Environmental Engineering Independent Study,var,"Fall, Spring, Summer",
CEE,4990,Special Topics in Civil and Environmental Engineering,var,"Fall, Spring, Summer",
CEE,4993,Engineering with Developing Communities,3.0,Fall,BE3350 or CM3110 or ENG3200 or MEEM3201 or CEE3200
CH,1000,Introductory Chemistry,3.0,"Fall, Spring",
CH,1134,Professional Development Seminar for Chemists I,1.0,Fall,
CH,1150,University Chemistry I,3.0,"Fall, Spring, Summer",MA1031(C) or MA1032(C) or MA1120(C) or MA1160(C) or MA1161(C) or MA1135(C) or MA1121(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2 or ACT Mathematics >= 22 or SAT MATH SECTION SCORE-M16 >= 540
CH,1151,University Chemistry Lab I,1.0,"Fall, Spring, Summer",MA1031(C) or MA1032(C) or MA1120(C) or MA1160(C) or MA1161(C) or MA1135(C) or MA1121(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2 or ACT Mathematics >= 22 or SAT MATH SECTION SCORE-M16 >= 540
CH,1153,University Chem Recitation I,1.0,"Fall, Spring, Summer",MA1031(C) or MA1032(C) or MA1120(C) or MA1160(C) or MA1161(C) or MA1121(C) or MA1135(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2 or ACT Mathematics >= 22 or SAT MATH SECTION SCORE-M16 >= 540
CH,1160,University Chemistry II,3.0,"Fall, Spring, Summer",CH1112 or (CH1150 and CH1151)
CH,1161,University Chemistry Laboratory II,1.0,"Fall, Spring, Summer",CH1112 or (CH1150 and CH1151)
CH,1163,Problem Solving in University Chemistry II - CH1160,1.0,"Fall, Spring, Summer",CH1150 and CH1151
CH,2130,Professional Development for Chemists 2,2.0,Fall,CH1130 or CH1134
CH,2410,Organic Chemistry I,3.0,"Fall, Summer",CH1122 or (CH1160 and CH1161)
CH,2411,Organic Chemistry Lab I,1.0,"Fall, Summer",(CH2410(C) or CH2430(C)) and CH1122 or (CH1160 and CH1161)
CH,2420,Organic Chemistry II,3.0,"Spring, Summer",CH2410
CH,2421,Organic Chemistry Lab II,2.0,"Spring, Summer",CH2411 and (CH2420(C) or CH2440(C))
CH,2430,Mechanistic Organic Chemistry,3.0,Fall,CH1160 and CH1161
CH,2440,Synthetic Organic Chemistry,3.0,Spring,CH2430
CH,2590,The Chemistry of Color and Art Materials,3.0,Spring,
CH,2710,Introduction in Computational Chemistry and Chemical Informatics,3.0,Spring,CH1160
CH,2990,Exploring Undergraduate Research in Chemistry,var,"Fall, Spring, Summer",CH1150(C) and CH1151(C)
CH,3020,Laboratory Teaching Internship,2.0,"Fall, Spring",
CH,3124,Communication for the Chemical Sciences,3.0,Fall,UN1015
CH,3130,Professional Development for Chemists 3,1.0,Spring,CH2130
CH,3200,Chemistry and Biology of Brewing,2.0,Spring,CH1150 and CH1151
CH,3310,Analytical Chemistry I,3.0,Fall,CH1122 or (CH1160 and CH1161)
CH,3311,Analytical Chemistry I Lab,2.0,Fall,CH1122 or (CH1160 and CH1161)
CH,3320,Analytical Chemistry II,3.0,Spring,CH3310 and CH3510(C)
